TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
73,1,9,8,5,20.1,26.2,23.8,64.89,7.2,73.33,96.78271379,
72,1,9,9,6,19.1,26.2,23.7,64.92,11.2,78,91.86007473,
92,1,9,10,7,17.6,27.1,22.3,67.94,13,125,84.77970101,
76,1,9,11,1,19.6,27.2,23.6,57.27,7.2,73.33,75.78805159,
71,1,9,12,2,18.6,27.9,23.8,52.45,3.6,170,65.29539625,
72,1,9,13,3,19.1,28.2,24.7,57.5,7.6,72.5,53.86123038,
59,1,9,14,4,21.4,29.1,25.2,63.22,3.6,203.33,42.15198824,
73,1,9,15,5,20.5,25.9,23.2,69.1,7.2,100,30.87583835,
69,1,9,16,6,21.7,29.1,26.7,58.68,7.2,76.67,20.7067188,
88,1,9,17,7,24.9,28.4,26.4,55.59,11.2,136.67,12.21376916,
60,1,9,18,1,15.1,28.1,22,72.46,3.6,90,5.810952628,
77,1,9,19,2,27.1,27.1,27.1,47.84,5.4,100,1.735330514,
68,1,9,20,3,28.7,28.7,28.7,51.41,3.6,40,0.053842367,
74,1,9,21,4,19.2,25.1,22.6,70.13,5.4,92.5,0.691091785,
89,1,9,22,5,19.7,27.2,23.2,74.68,7.2,83.33,3.467050975,
76,1,9,23,6,19.4,24.2,21.8,84.24,7.2,90,8.134235593,
53,1,9,24,7,20.1,24.4,22.6,68.51,13,140,14.40743284,
76,1,9,25,1,20.5,23.4,21.8,80.5,3.6,80,21.98343511,
72,1,9,26,2,24.9,26.4,25.6,59.11,3.6,180,30.55171657,
71,1,9,27,3,19.9,27.7,24.2,68.19,3.6,183.33,39.79874792,
70,1,9,28,4,18.7,25.1,22.6,78.22,7.2,83.33,49.40873133,
71,1,9,29,5,19.1,25.1,22.8,66.72,16.6,97,59.06262682,
66,1,9,30,6,19.6,25.1,22.9,77.9,7.2,90,68.43633631,
77,1,10,1,7,19.4,25.7,22.8,67.62,7.2,96.67,77.19855316,
81,1,10,2,1,18.6,26.9,23.2,69.05,7.6,123.33,85.00936119,
65,1,10,3,2,25.1,26.1,25.6,49.02,14.8,110,91.52188873,
74,1,10,4,3,25.1,26.1,25.6,61.27,9.4,95,96.39043333,
72,1,10,5,4,20.7,25.4,23.6,63.09,13,124,99.28853883,
67,1,10,6,5,19.9,29.2,25.1,61.06,7.2,86.67,99.93881581,
67,1,10,7,6,17.6,24.1,21.7,77.87,7.2,90,98.15275315,
76,1,10,8,7,18.6,23.4,21.1,69.74,3.6,163.33,93.87416393,
70,1,10,9,1,19.1,24.6,22.3,65.69,3.6,293.33,87.21589302,
78,1,10,10,2,19.1,27.9,24.8,63.65,13,95.25,78.47799447,
57,1,10,11,3,18.7,25.9,22.9,68.61,7.2,66.67,68.13821238,
67,1,10,12,4,18.6,25.6,22.9,58.72,7.6,87.5,56.81219163,
74,1,10,13,5,19.4,24.2,22.6,60.8,11.2,82.5,45.18940958,
52,1,10,14,6,18.6,26.4,23,64.96,7.2,90,33.95808536,
69,1,10,15,7,20.4,27.1,23.5,55.58,7.6,110,23.73528075,
78,1,10,16,1,18.7,26.9,23.5,59.24,7.2,90,15.01590719,
66,1,10,17,2,17.6,25.2,22,63.83,7.2,69.67,8.147711084,
74,1,10,18,3,25.1,27.9,26.5,52.47,7.2,145,3.33149516,
71,1,10,19,4,18.7,26.1,23.3,54.41,7.2,65,0.639828452,
86,1,10,20,5,20.8,27.9,24.9,55.84,14.8,294,0.044924011,
67,1,10,21,6,19.1,28.7,24.6,48.93,7.2,90,1.447122424,
86,1,10,22,7,18.2,29.4,24.2,51.05,7.6,137.5,4.69825012,
82,1,10,23,1,18.7,27.1,23.5,54.29,10.8,50,9.617477091,
74,1,10,24,2,22.1,22.1,22.1,43.46,7.6,120,15.99999236,
63,1,10,25,3,12.1,24.9,19.1,60.24,10.8,85,23.62026867,
63,1,10,26,4,14.7,24.4,19,48.25,7.6,135,32.23189789,
66,1,10,27,5,9.1,27.4,20.5,53.23,7.6,207.5,41.5653713,
70,1,10,28,6,16.6,27.6,22.1,57.93,9.4,77.5,51.32441886,
82,1,10,29,7,18.6,26.7,23.4,52.94,7.2,203.33,61.18127965,
71,1,10,30,1,17.6,24.6,22.3,54.78,9.4,217.5,70.77196123,
77,1,10,31,2,23.2,23.2,23.2,55.85,3.6,350,79.69407574,
69,1,11,1,3,17.1,25.9,21.5,62.6,3.6,320,87.51155063,
78,1,11,2,4,19.4,28.1,24.6,57.58,3.6,146.67,93.77128594,
82,1,11,3,5,19.1,30.1,24.9,56.49,7.6,96.67,98.03550774,
65,1,11,4,6,23.2,31.1,27.4,29.14,3.6,90,99.92957083,
60,1,11,5,7,15.1,30.3,24.3,49.58,7.6,121.67,99.19893661,
76,1,11,6,1,15.1,29.9,23.8,30.06,3.6,100,95.76308786,
66,1,11,7,2,14.4,28.9,22.6,47.68,7.2,76.67,89.75117227,
75,1,11,8,3,12.6,29.7,22.7,33.59,3.6,200,81.50651623,
77,1,11,9,4,16.9,28.2,24.8,43.85,5.4,170,71.5549578,
101,1,11,10,5,19.1,27.7,24.3,52.86,7.2,165,60.54256673,
71,1,11,11,6,18.1,28.1,23.2,52.9,7.2,90,49.15738217,
93,1,11,12,7,17.4,28.1,23.1,43.95,7.2,103.67,38.05350192,
95,1,11,13,1,17.1,27.4,24.1,40.88,16.6,92,27.79303075,
81,1,11,14,2,16,26.4,21.8,53.81,7.2,92.33,18.81395544,
63,1,11,15,3,15.6,26.7,22.1,50.96,3.6,133.33,11.42358759,
72,1,11,16,4,16.1,16.1,16.1,65.79,7.2,90,5.811038438,
82,1,11,17,5,14.1,27.2,21.5,41.31,3.6,120,2.069713338,
80,1,11,18,6,13.6,29.5,23.3,47.65,7.2,90,0.221625828,
91,1,11,19,7,17.2,26.7,22.6,39.34,7.2,80,0.238003525,
73,1,11,20,1,14.4,26.7,20.4,53.15,5.4,185,2.053687824,
67,1,11,21,2,9.1,26.4,20.3,49.25,18.4,180,5.575196891,
90,1,11,22,3,12.4,26.4,21.8,36.2,7.6,56.67,10.68359662,
71,1,11,23,4,12.1,22.9,18.3,38.98,7.6,86.67,17.23354985,
96,1,11,24,5,9.2,23.9,17.7,43.91,3.6,120,25.04944744,
78,1,11,25,6,10.6,26.1,19.4,53.2,7.2,91.33,33.91890643,
82,1,11,26,7,12.2,26.7,22.4,31.78,18.4,90,43.58373714,
76,1,11,27,1,8.4,24.9,19.2,44.28,3.6,230,53.72919198,
81,1,11,28,2,11.7,25.4,19.5,43.14,9.4,127.5,63.97402192,
61,1,11,29,3,10.6,26.9,19.6,41,3.6,93.33,73.86614228,
75,1,11,30,4,12.6,24.2,19.1,32.58,7.2,73,82.89048082,
90,1,12,1,5,10.6,22.9,17.6,37.4,14.8,88,90.49537267,
65,1,12,2,6,8.8,25.1,17.7,47.31,7.2,85,96.1404366,
77,1,12,3,7,20.8,24.9,22.9,33.91,3.6,110,99.36216418,
70,1,12,4,1,6.1,25.7,18,54.19,9.4,206.67,99.84536845,
68,1,12,5,2,13.1,26.4,20.8,55.84,7.2,76.67,97.48274781,
70,1,12,6,3,11.1,27.1,21.9,44.71,7.6,240,92.4047533,
50,1,12,7,4,8,25.7,18.2,56.06,10.8,170,84.96907023,
66,1,12,8,5,15.6,22.1,19.8,46.21,7.2,210,75.71105948,
66,1,12,9,6,5.6,19.1,13.2,28.61,14.8,130,65.26835456,
92,1,12,10,7,8.7,19.1,15.3,28.54,9.4,96.67,54.29934103,
82,1,12,11,1,6.6,16.4,12.3,40.95,3.6,215,43.41416547,
