Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","04/17/2018",28.4,31.2,29.8,5.5,21.62,29.2,10.8,,300,,0,0,,12,65,1011.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","04/18/2018",21.1,31.4,27.2,4.4,25.93,29.3,7.2,,300,,0,0,,12,13.3,1011.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/19/2018",20.8,32.1,27.1,2.1,22.7,29.8,9.4,,166.67,,0,0,,11.8,36.7,1014.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","04/20/2018",20.7,26.9,24.5,11,43.11,26.9,3.6,,60,,0,0,,11.2,16.7,1013.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/21/2018",21.1,21.1,21.1,9.1,46.2,,5.4,,310,,0,0,,12.9,0,1008.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/22/2018",14.1,32.3,24.6,5.1,35.32,30,7.2,,294,,0,0,,13.5,83.8,1009.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","04/23/2018",21.6,33.2,27.9,6,27.36,30.8,10.8,,150,,0,0,,12,23.3,1011.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/24/2018",28.7,32.7,30.7,3.8,18.63,30.4,7.2,,205,,0,0,,12,80,1009.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","04/25/2018",21.1,33.1,28.2,-1.6,16.63,30.7,11.2,,310,,0,0,,13,0,1011.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/26/2018",13.1,32.8,24,-1.5,20.19,30.4,11,,223,,0,0,,13.2,0,1010.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/27/2018",20.8,32.6,27.4,0.8,19,30.3,13,,232.5,,0,0,,13,0,1009.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/28/2018",29.1,30.1,29.6,-4.4,10.68,28.2,20.5,,305,,0,0,,19.3,0,1006.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
