TOTAL,MES,DIA,DIA2,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,P
82,11,3,5,24.9,56.49,7.6,96.67,98.03550774,100
65,11,4,6,27.4,29.14,3.6,90,99.92957083,100
60,11,5,7,24.3,49.58,7.6,121.67,99.19893661,100
76,11,6,1,23.8,30.06,3.6,100,95.76308786,100
66,11,7,2,22.6,47.68,7.2,76.67,89.75117227,100
75,11,8,3,22.7,33.59,3.6,200,81.50651623,100
77,11,9,4,24.8,43.85,5.4,170,71.5549578,100
101,11,10,5,24.3,52.86,7.2,165,60.54256673,100
71,11,11,6,23.2,52.9,7.2,90,49.15738217,100
93,11,12,7,23.1,43.95,7.2,103.67,38.05350192,100
95,11,13,1,24.1,40.88,16.6,92,27.79303075,100
81,11,14,2,21.8,53.81,7.2,92.33,18.81395544,100
63,11,15,3,22.1,50.96,3.6,133.33,11.42358759,100
72,11,16,4,16.1,65.79,7.2,90,5.811038438,100
82,11,17,5,21.5,41.31,3.6,120,2.069713338,100
80,11,18,6,23.3,47.65,7.2,90,0.221625828,100
91,11,19,7,22.6,39.34,7.2,80,0.238003525,100
73,11,20,1,20.4,53.15,5.4,185,2.053687824,100
67,11,21,2,20.3,49.25,18.4,180,5.575196891,100
90,11,22,3,21.8,36.2,7.6,56.67,10.68359662,100
71,11,23,4,18.3,38.98,7.6,86.67,17.23354985,100
96,11,24,5,17.7,43.91,3.6,120,25.04944744,100
78,11,25,6,19.4,53.2,7.2,91.33,33.91890643,100
82,11,26,7,22.4,31.78,18.4,90,43.58373714,100
76,11,27,1,19.2,44.28,3.6,230,53.72919198,100
81,11,28,2,19.5,43.14,9.4,127.5,63.97402192,100
61,11,29,3,19.6,41,3.6,93.33,73.86614228,100
75,11,30,4,19.1,32.58,7.2,73,82.89048082,100
90,12,1,5,17.6,37.4,14.8,88,90.49537267,100
65,12,2,6,17.7,47.31,7.2,85,96.1404366,100
77,12,3,7,22.9,33.91,3.6,110,99.36216418,100
70,12,4,1,18,54.19,9.4,206.67,99.84536845,100
68,12,5,2,20.8,55.84,7.2,76.67,97.48274781,100
70,12,6,3,21.9,44.71,7.6,240,92.4047533,100
50,12,7,4,18.2,56.06,10.8,170,84.96907023,100
66,12,8,5,19.8,46.21,7.2,210,75.71105948,100
66,12,9,6,13.2,28.61,14.8,130,65.26835456,100
92,12,10,7,15.3,28.54,9.4,96.67,54.29934103,100
82,12,11,1,12.3,40.95,3.6,215,43.41416547,100
67,12,12,2,17.2,32.68,7.3,87,33.12978909,100
85,12,13,3,14.1,28.23,5.4,280,23.85141833,100
79,12,14,4,19.2,51.15,7.2,166.67,15.87532001,100
77,12,15,5,17.9,65.31,9.4,172.5,9.404545053,100
72,12,16,6,14.4,90.33,18.4,145,4.56924434,100
77,12,17,7,19.5,71.77,7.2,90,1.44559918,100
76,12,18,1,19.2,72.09,7.2,186.67,0.070278804,100
77,12,19,2,19.8,63,7.6,180,0.449653792,100
78,12,20,3,24.5,37.26,11.2,286.67,2.564262264,100
81,12,21,4,18.5,64.24,7.6,100,6.369280579,100
108,12,22,5,18.5,59.8,9.4,130,11.7913419,100
73,12,23,6,16.7,65.64,7.6,77.5,18.72148026,100
68,12,24,7,21.5,47.41,7.1,116,27.00379806,100
40,12,25,1,21.6,27.94,5.4,30,36.42012249,100
60,12,26,2,18.2,53.32,7.2,217.5,46.67265042,100
63,12,27,3,25.9,24.7,3.6,40,57.3691627,100
77,12,28,4,18.2,50.45,7.2,170,68.01796928,100
66,12,29,5,18,54.21,3.6,170,78.04086212,100
57,12,30,6,19,55.29,3.6,90,86.81036724,100
66,12,31,7,20.1,50.84,14.8,230,93.7116619,100
64,1,1,1,11.9,87.55,8.09,180,98.22072885,100
64,1,2,2,18.4,56.02,7.2,110.33,99.98196585,100
70,1,3,3,23.7,35.15,3.6,30,98.86488612,100
67,1,4,4,18,54.28,9.4,137.5,94.98357896,100
57,1,5,5,20.9,45.37,11.2,187.25,88.6734462,100
74,1,6,6,17.3,54.76,7.2,90,80.4328837,100
63,1,7,7,15.4,65.15,3.6,190,70.84725382,100
74,1,8,1,17.9,55.84,7.2,150,60.5149248,100
64,1,9,2,18.2,47.69,7.2,93.33,49.99045154,100
66,1,10,3,18.9,54.55,7.2,290,39.75147822,100
83,1,11,4,19.3,41.42,11.2,210,30.18783099,100
63,1,12,5,18.6,30.88,9.4,106.67,21.60632112,100
57,1,13,6,17.7,49.98,7.2,90,14.24356728,100
83,1,14,7,15.8,38.72,7.6,93.75,8.280604816,100
70,1,15,1,5.4,83.92,8.09,100,3.855567721,100
74,1,16,2,17,49.72,7.2,106.67,1.072990675,100
75,1,17,3,15.2,53.21,3.6,335,0.009601084,100
82,1,18,4,17,57.13,7.2,130,0.716771495,100
73,1,19,5,18,61.66,7.2,76.67,3.219400956,100
60,1,20,6,18.1,58.52,7.2,90,7.510409207,100
61,1,21,7,17.8,41.97,10.8,210,13.53981279,100
67,1,22,1,16.7,39.54,3.6,210,21.19796897,100
77,1,23,2,20,48.43,7.2,153.33,30.29427166,100
90,1,24,3,19.6,53.75,7.2,110,40.5352427,100
63,1,25,4,15.7,69.4,7.6,102.5,51.50891057,100
78,1,26,5,18.4,59.15,7.2,130,62.68430856,100
76,1,27,6,19.3,59.93,7.2,90,73.43422092,100
62,1,28,7,22.4,55.03,7.2,105,83.08478274,100
75,1,29,1,16.3,67.84,24.1,99.67,90.98758078,100
72,1,30,2,15.9,34.97,7.6,96.67,96.60105009,100
79,1,31,3,15.5,40.16,7.2,85,99.56221416,100
